"{'602960', '108600'} | support: 35"
"{'221100', '108600'} | support: 35"
"{'381210', '108600'} | support: 36"
"{'548430', '108600'} | support: 42"
"{'570', '108600'} | support: 51"
"{'108600', '730'} | support: 60"
"{'250820', '108600'} | support: 61"
"{'739630', '108600'} | support: 64"
"{'294100', '108600'} | support: 64"
"{'570', '444090'} | support: 34"
"{'386360', '444090'} | support: 40"
"{'230410', '444090'} | support: 40"
"{'548430', '444090'} | support: 41"
"{'739630', '444090'} | support: 43"
"{'252950', '444090'} | support: 44"
"{'381210', '444090'} | support: 45"
"{'440', '444090'} | support: 47"
"{'250820', '444090'} | support: 48"
"{'431960', '444090'} | support: 57"
"{'444090', '1172470'} | support: 68"
"{'730', '444090'} | support: 101"
"{'548430', '72850'} | support: 33"
"{'250820', '72850'} | support: 37"
"{'431960', '72850'} | support: 41"
"{'377160', '72850'} | support: 42"
"{'570', '72850'} | support: 49"
"{'72850', '730'} | support: 71"
"{'489830', '72850'} | support: 73"
"{'22380', '960090'} | support: 32"
"{'22380', '4000'} | support: 33"
"{'22380', '548430'} | support: 33"
"{'22380', '739630'} | support: 35"
"{'394360', '22380'} | support: 37"
"{'22380', '976730'} | support: 41"
"{'22380', '440'} | support: 49"
"{'250820', '22380'} | support: 52"
"{'22380', '730'} | support: 57"
"{'489830', '22380'} | support: 70"
"{'377160', '22380'} | support: 98"
"{'1281930', '4000'} | support: 35"
"{'1281930', '1085660'} | support: 37"
"{'1281930', '570'} | support: 40"
"{'1281930', '1172470'} | support: 42"
"{'1281930', '230410'} | support: 42"
"{'1281930', '739630'} | support: 43"
"{'1281930', '960090'} | support: 46"
"{'1281930', '250900'} | support: 50"
"{'1281930', '440'} | support: 50"
"{'1281930', '431960'} | support: 50"
"{'1281930', '632360'} | support: 53"
"{'1281930', '250820'} | support: 55"
"{'1281930', '548430'} | support: 62"
"{'1281930', '730'} | support: 67"
"{'1281930', '105600'} | support: 211"
"{'1085660', '397540'} | support: 35"
"{'739630', '397540'} | support: 35"
"{'381210', '397540'} | support: 36"
"{'632360', '397540'} | support: 37"
"{'489830', '397540'} | support: 37"
